Person,Total Gross,# Movies,Average,#1 Picture,Gross
Will Speck,$201.10 ,3,$67.00 ,Blades of Glory,$118.60 
Scott Speer,$35.10 ,1,$35.10 ,Step Up Revolution,$35.10 
Christopher Spencer,$59.70 ,1,$59.70 ,Son of God,$59.70 
Penelope Spheeris,$263.10 ,5,$52.60 ,Wayne's World,$121.70 
Steven Spielberg,"$4,666.40 ",33,$141.40 ,E.T.,$435.10 
Morgan Spurlock,$41.50 ,6,$6.90 ,One Direction: This is Us,$28.90 
Dan St. Pierre,$8.50 ,1,$8.50 ,Legends of Oz: Dorothy's Return,$8.50 
Anthony Stacchi,$50.80 ,1,$50.80 ,The Boxtrolls,$50.80 
Chad Stahelski,$135.10 ,2,$67.50 ,John Wick 2,$92.00 
Sylvester Stallone,$626.30 ,8,$78.30 ,Rocky IV,$127.90 
Daniel Stamm,$41.00 ,1,$41.00 ,The Last Exorcism,$41.00 
Andrew Stanton,"$1,164.00 ",4,$291.00 ,Finding Dory,$486.30 
Burr Steers,$111.00 ,4,$27.80 ,17 Again,$64.20 
Bjorn Stein,$62.30 ,1,$62.30 ,Underworld Awakening,$62.30 
James D. Stern,$20.40 ,4,$5.10 ,Michael Jordan (IMAX),$18.70 
Joshua Michael Stern,$32.40 ,2,$16.20 ,Swing Vote,$16.30 
Josh Sternfeld,$319k,1,$319k,Winter Solstice,$319k
Lee Sternthal,$11.50 ,1,$11.50 ,The Words,$11.50 
Scott Charles Stewart,$86.70 ,3,$28.90 ,Legion,$40.20 
Ben Stiller,$324.00 ,6,$54.00 ,Tropic Thunder,$110.50 
Whit Stillman,$28.30 ,6,$4.70 ,Love & Friendship,$14.00 
John Stockwell,$83.20 ,5,$16.60 ,Blue Crush,$40.40 
Chris Stokes,$44.00 ,3,$14.70 ,You Got Served,$40.40 
Nick Stoller,$431.30 ,6,$71.90 ,Neighbors,$150.20 
Oliver Stone,$766.00 ,19,$40.30 ,Platoon,$138.50 
Charles Stone III,$81.30 ,4,$20.30 ,Drumline,$56.40 
Tim Story,$781.90 ,8,$97.70 ,Fantastic Four (2005),$154.70 
Greg Strause,$63.20 ,2,$31.60 ,Aliens Vs. Predator - Requiem,$41.80 
Todd Strauss-Schulson,$35.10 ,1,$35.10 ,Harold & Kumar 3D,$35.10 
Barbra Streisand,$156.10 ,3,$52.00 ,The Prince of Tides,$74.80 
Robert Stromberg,$241.40 ,1,$241.40 ,Maleficent,$241.40 
Danny Strong,$378k,1,$378k,Rebel in the Rye,$378k
Michael Sucsy,$131.10 ,2,$65.60 ,The Vow,$125.00 
John Sullivan,$47.90 ,2,$23.90 ,2016 Obama's America,$33.40 
Spencer Susser,$383k,1,$383k,Hesher,$383k
Kiefer Sutherland,$109k,1,$109k,"Truth or Consequences, N.M.",$109k
Joe Swanberg,$521k,5,$104k,Drinking Buddies,$343k
Damian Szifron,$3.10 ,1,$3.10 ,Wild Tales,$3.10 
Jorma Taccone,$18.20 ,2,$9.10 ,Popstar,$9.60 
Lee Tamahori,$322.50 ,8,$40.30 ,Die Another Day,$160.90 
Quentin Tarantino,$649.20 ,9,$72.10 ,Django Unchained,$162.80 
Tarsem,$224.30 ,5,$44.90 ,Immortals,$83.50 
Alan Taylor,$296.10 ,2,$148.10 ,Thor: The Dark World,$206.40 
Brian Taylor,$113.80 ,4,$28.50 ,Ghost Rider 2,$51.80 
Tate Taylor,$275.80 ,4,$69.00 ,The Help,$169.70 
Sam Taylor-Johnson,$167.60 ,2,$83.80 ,Fifty Shades of Grey,$166.20 
Julie Taymor,$52.50 ,4,$13.10 ,Frida,$25.90 
Andy Tennant,$598.00 ,9,$66.40 ,Hitch,$179.50 
Chris Terrio,$1.20 ,1,$1.20 ,Heights,$1.20 
Betty Thomas,$563.30 ,7,$80.50 ,Alvin and the Chipmunks 2,$219.60 
Billy Bob Thornton,$14.8k,1,$14.8k,Jayne Mansfield's Car,$14.8k
Rawson Marshall Thurber,$392.20 ,4,$98.10 ,We're the Millers,$150.40 
Paul Tibbitt,$163.00 ,1,$163.00 ,SpongeBob,$163.00 
Michael Tiddes,$69.10 ,3,$23.00 ,A Haunted House,$40.00 
"George Tillman, Jr.",$190.50 ,6,$31.80 ,Men of Honor,$48.80 
Peter Tolan,$57.3k,1,$57.3k,Finding Amanda,$57.3k
Mark Tonderai,$31.60 ,1,$31.60 ,House at the End of The Street,$31.60 
Josh Trank,$120.70 ,2,$60.30 ,Chronicle,$64.60 
Pete Travis,$85.70 ,3,$28.60 ,Vantage Point,$72.30 
Jeff Tremaine,$356.30 ,4,$89.10 ,Jackass 3-D,$117.20 
Colin Trevorrow,$660.80 ,3,$220.30 ,Jurassic World,$652.30 
Stanley Tucci,$15.10 ,5,$3.00 ,Big Night,$12.00 
Jon Turteltaub,$907.40 ,10,$90.70 ,National Treasure: Book of Secrets,$220.00 
David Twohy,$169.20 ,6,$28.20 ,The Chronicles of Riddick,$57.80 
Tom Tykwer,$68.20 ,8,$8.50 ,Cloud Atlas,$27.10 
Morten Tyldum,$192.50 ,4,$48.10 ,Passengers,$100.00 
Ron Underwood,$243.20 ,7,$34.70 ,City Slickers,$124.00 
Lee Unkrich,"$1,541.30 ",5,$308.30 ,Toy Story 3,$415.00 
Jean-Marc Vallee,$78.20 ,4,$19.50 ,Wild (2014),$37.90 
Gus Van Sant,$287.90 ,16,$18.00 ,Good Will Hunting,$138.40 
James Vanderbilt,$2.50 ,1,$2.50 ,Truth,$2.50 
Nia Vardalos,$11.0k,1,$11.0k,I Hate Valentine's Day,$11.0k
Tom Vaughan,$92.60 ,3,$30.90 ,What Happens in Vegas,$80.30 
Matthew Vaughn,$464.00 ,6,$77.30 ,X-Men: First Class,$146.40 
Malcolm Venville,$142k,2,$70.8k,Henry's Crime,$103k
Gore Verbinski,"$1,529.40 ",10,$152.90 ,Dead Man's Chest,$423.30 
Paul Verhoeven,$445.70 ,9,$49.50 ,Total Recall,$119.40 
Conrad Vernon,$953.70 ,4,$238.40 ,Shrek 2,$441.20 
Denis Villeneuve,$303.80 ,7,$43.40 ,Arrival,$100.50 
Jordan Vogt-Roberts,$169.40 ,2,$84.70 ,Kong: Skull Island,$168.10 
Lilly & Lana Wachowski,$714.60 ,7,$102.10 ,The Matrix Reloaded,$281.60 
Stewart Wade,$13.9k,2,$6.9k,Tru Loved,$9.5k
Jeff Wadlow,$101.90 ,4,$25.50 ,Truth or Dare,$38.20 
David Wain,$85.80 ,4,$21.50 ,Role Models,$67.30 
Taika Waititi,$324.20 ,5,$64.80 ,Thor: Ragnarok,$315.10 
Randall Wallace,$286.20 ,4,$71.60 ,Heaven is for Real,$91.40 
Melisa Wallack,$62.6k,1,$62.6k,Meet Bill,$62.6k
James Wan,$812.80 ,8,$101.60 ,Furious 7,$353.00 
Denzel Washington,$109.00 ,3,$36.30 ,Fences,$57.70 
Mark S. Waters,$475.90 ,10,$47.60 ,Freaky Friday,$110.20 
James Watkins,$54.40 ,3,$18.10 ,The Woman in Black,$54.30 
Ric Roman Waugh,$42.90 ,1,$42.90 ,Snitch,$42.90 
Scott Waugh,$113.60 ,2,$56.80 ,Act of Valor,$70.00 
Keenen Ivory Wayans,$400.20 ,6,$66.70 ,Scary Movie,$157.00 
Marc Webb,$522.70 ,5,$104.50 ,The Amazing Spider-Man,$262.00 
Chris Wedge,$445.50 ,4,$111.40 ,Ice Age,$176.40 
Robert B. Weide,$2.80 ,1,$2.80 ,How to Lose Friends and Alienate People,$2.80 
Peter Weir,$454.00 ,10,$45.40 ,Truman Show,$125.60 
Chris Weitz,$474.10 ,5,$94.80 ,New Moon,$296.60 
Paul Weitz,$449.00 ,10,$44.90 ,Little Fockers,$148.40 
John Wells,$55.80 ,3,$18.60 ,August: Osage County,$37.70 
Simon Wells,$222.50 ,6,$37.10 ,Prince of Egypt,$101.40 
Richard Wenk,$5.40 ,2,$2.70 ,Vamp,$4.90 
Simon West,$497.30 ,7,$71.00 ,Tomb Raider,$131.20 
Ti West,$348k,6,$58.1k,The House of the Devil,$101k
Wash Westmoreland,$21.30 ,4,$5.30 ,Still Alice,$18.80 
Leigh Whannell,$52.20 ,1,$52.20 ,Insidious Chapter 3,$52.20 
Joss Whedon,"$1,112.20 ",4,$278.10 ,The Avengers,$623.40 
Forest Whitaker,$136.20 ,3,$45.40 ,Waiting to Exhale,$67.10 
Erik White,$24.70 ,1,$24.70 ,Lottery Ticket,$24.70 
Mike White,$3.70 ,2,$1.80 ,Brad's Status,$2.10 
Stiles White,$50.90 ,1,$50.90 ,Ouija,$50.90 
Susanna White,$32.20 ,2,$16.10 ,Nanny McPhee Returns,$29.00 
John Whitesell,$213.50 ,6,$35.60 ,Big Momma's House 2,$70.20 
Gene Wilder,$33.30 ,2,$16.70 ,The Woman in Red,$25.30 
Chris Williams,$336.60 ,2,$168.30 ,Big Hero 6,$222.50 
Ryan Piers Williams,$11.8k,1,$11.8k,The Dry Land,$11.8k
Tod Williams,$88.70 ,3,$29.60 ,Paranormal Activity 2,$84.80 
Jim Wilson,$1.10 ,2,$548k,50 to 1,$1.10 
Luke Wilson,$127k,1,$127k,The Wendell Baker Story,$127k
Kurt Wimmer,$19.70 ,2,$9.90 ,Ultraviolet,$18.50 
Jason Winer,$33.00 ,1,$33.00 ,Arthur (2011),$33.00 
Adam Wingard,$39.60 ,3,$13.20 ,Blair Witch,$20.80 
Gary Winick,$255.20 ,7,$36.50 ,Charlotte's Web,$83.00 
Irwin Winkler,$118.00 ,7,$16.90 ,The Net,$50.70 
Michael Winterbottom,$20.90 ,20,$1.00 ,A Mighty Heart,$9.20 
Tommy Wirkola,$55.80 ,2,$27.90 ,Hansel and Gretel,$55.70 
Len Wiseman,$307.70 ,4,$76.90 ,Live Free or Die Hard,$134.50 
Fred Wolf,$54.80 ,2,$27.40 ,The House Bunny,$48.20 
James Wong,$160.70 ,4,$40.20 ,Final Destination 3,$54.10 
John Woo,$526.40 ,7,$75.20 ,Mission: Impossible II,$215.40 
Bille Woodruff,$93.70 ,4,$23.40 ,Beauty Shop,$36.40 
Dean Wright,$5.70 ,1,$5.70 ,For Greater Glory,$5.70 
Edgar Wright,$202.50 ,5,$40.50 ,Baby Driver,$107.80 
Joe Wright,$265.70 ,7,$38.00 ,Darkest Hour,$56.40 
Rupert Wyatt,$210.50 ,3,$70.20 ,Rise of the Planet of the Apes,$176.80 
Boaz Yakin,$221.90 ,7,$31.70 ,Remember the Titans,$115.70 
Bob Yari,$1.10 ,1,$1.10 ,Papa: Hemingway in Cuba,$1.10 
David Yates,"$1,631.60 ",6,$271.90 ,Harry Potter / Deathly Hallows (P2),$381.00 
Zhang Yimou,$131.00 ,16,$8.20 ,Hero,$53.70 
Ronny Yu,$151.40 ,5,$30.30 ,Freddy Vs. Jason,$82.60 
Jennifer Yuh Nelson,$308.80 ,2,$154.40 ,Kung Fu Panda 2,$165.20 
Justin Zackham,$21.80 ,1,$21.80 ,The Big Wedding,$21.80 
Steven Zaillian,$71.20 ,3,$23.70 ,A Civil Action,$56.70 
Benh Zeitlin,$12.80 ,1,$12.80 ,Beasts of the Southern Wild,$12.80 
Robert Zemeckis,"$2,092.80 ",18,$116.30 ,Forrest Gump,$330.30 
Rob Zombie,$123.30 ,6,$20.50 ,Halloween (2007),$58.30 
David Zucker,$571.50 ,10,$57.20 ,Scary Movie 3,$110.00 
Jerry Zucker,$487.40 ,6,$81.20 ,Ghost,$217.60 
Harald Zwart,$297.90 ,5,$59.60 ,The Karate Kid,$176.60 
Edward Zwick,$524.30 ,12,$43.70 ,The Last Samurai,$111.10 
